Id,PostTypeId,AcceptedAnswerId,ParentId,Score,ViewCount,Body,OwnerUserId,OwnerDisplayName,LastEditorUserId,LastEditDate,LastActivityDate,Title,Tags,AnswerCount,CommentCount,FavoriteCount,CreationDate
19707647,1,31596123,,3,1292,"<p>I'm trying to install Apache Apollo on CentOS, and I get the following:</p>&#xA;&#xA;<pre><code>sudo ${APOLLO_HOME}/bin/apollo create mybroker&#xA;&#xA;Creating apollo instance at: mybroker&#xA;Generating ssl keystore...&#xA;java.io.IOException: Cannot run program ""keytool"" (in directory ""mybroker/etc""): error=2, No such file or directory&#xA;</code></pre>&#xA;&#xA;<p>I added keytool to my path, I can run keytool from the command line, but for some reason the Apollo installation can't find it. Any ideas?</p>&#xA;",2683012,,,,2015-07-23 19:10:06,"Can't install Apache Apollo -- Can't find ""keytool""",<apache><centos><keytool><apollo>,3,0,0,2013-10-31 13:20:25
20199498,2,,17404600,1,,"<p>you will need to get the following jar files:&#xA;<a href=""https://people.apache.org/~rgodfrey/qpid-java-amqp-1-0-client-jms.html"" rel=""nofollow"">https://people.apache.org/~rgodfrey/qpid-java-amqp-1-0-client-jms.html</a> and the javax.jms one. After that it's pretty simple to use the examples that come with apollo.</p>&#xA;&#xA;<p>I start a listener from the bin folder using:&#xA;java -cp example/geronimo-jms_1.1_spec-1.1.jar:example/javax.jms-3.1.2.2.jar:example/qpid-amqp-1-0-client-0.22.jar:example/qpid-amqp-1-0-client-jms-0.22.jar:example/qpid-amqp-1-0-common-0.22.jar:. example.Listener topic://event</p>&#xA;&#xA;<p>and similar for the Producer.</p>&#xA;",870997,,,,2013-11-25 17:33:23,"",,0,0,0,2013-11-25 17:33:23
22996349,2,,19707647,1,,"<p>While creating broker, you are generating ssl keystore. For that a program ""keytool"" should be available.</p>&#xA;&#xA;<p>""keytool"" is part of every java installation, so you should try to install java. Anyway, to run apollo you are going to need it.</p>&#xA;",505482,,,,2014-04-10 18:39:48,"",,0,0,0,2014-04-10 18:39:48
24581771,1,24681787,,0,283,"<p>I have just downloaded the Apollo music player source code from the official git repository,&#xA;and I have imported the project into my Eclipse ADT. If I try to run the project in an emulator I get the following error:</p>&#xA;&#xA;<pre><code>07-04 19:39:08.948: E/AndroidRuntime(1072): FATAL EXCEPTION: main&#xA;07-04 19:39:08.948: E/AndroidRuntime(1072): Process: com.andrew.apollo, PID: 1072&#xA;07-04 19:39:08.948: E/AndroidRuntime(1072): java.lang.RuntimeException: Unable to instantiate activity ComponentInfo{com.andrew.apollo/com.andrew.apollo.ui.activities.HomeActivity}: java.lang.ClassNotFoundException: Didn't find class ""com.andrew.apollo.ui.activities.HomeActivity"" on path: DexPathList[[zip file ""/data/app/com.andrew.apollo-1.apk""],nativeLibraryDirectories=[/data/app-lib/com.andrew.apollo-1, /system/lib]]&#xA;07-04 19:39:08.948: E/AndroidRuntime(1072):     at android.app.ActivityThread.performLaunchActivity(ActivityThread.java:2121)&#xA;07-04 19:39:08.948: E/AndroidRuntime(1072):     at android.app.ActivityThread.handleLaunchActivity(ActivityThread.java:2245)&#xA;07-04 19:39:08.948: E/AndroidRuntime(1072):     at android.app.ActivityThread.access$800(ActivityThread.java:135)&#xA;07-04 19:39:08.948: E/AndroidRuntime(1072):     at android.app.ActivityThread$H.handleMessage(ActivityThread.java:1196)&#xA;07-04 19:39:08.948: E/AndroidRuntime(1072):     at android.os.Handler.dispatchMessage(Handler.java:102)&#xA;07-04 19:39:08.948: E/AndroidRuntime(1072):     at android.os.Looper.loop(Looper.java:136)&#xA;07-04 19:39:08.948: E/AndroidRuntime(1072):     at android.app.ActivityThread.main(ActivityThread.java:5017)&#xA;07-04 19:39:08.948: E/AndroidRuntime(1072):     at java.lang.reflect.Method.invokeNative(Native Method)&#xA;07-04 19:39:08.948: E/AndroidRuntime(1072):     at java.lang.reflect.Method.invoke(Method.java:515)&#xA;07-04 19:39:08.948: E/AndroidRuntime(1072):     at com.android.internal.os.ZygoteInit$MethodAndArgsCaller.run(ZygoteInit.java:779)&#xA;07-04 19:39:08.948: E/AndroidRuntime(1072):     at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:595)&#xA;07-04 19:39:08.948: E/AndroidRuntime(1072):     at dalvik.system.NativeStart.main(Native Method)&#xA;07-04 19:39:08.948: E/AndroidRuntime(1072): Caused by: java.lang.ClassNotFoundException: Didn't find class ""com.andrew.apollo.ui.activities.HomeActivity"" on path: DexPathList[[zip file ""/data/app/com.andrew.apollo-1.apk""],nativeLibraryDirectories=[/data/app-lib/com.andrew.apollo-1, /system/lib]]&#xA;07-04 19:39:08.948: E/AndroidRuntime(1072):     at dalvik.system.BaseDexClassLoader.findClass(BaseDexClassLoader.java:56)&#xA;07-04 19:39:08.948: E/AndroidRuntime(1072):     at java.lang.ClassLoader.loadClass(ClassLoader.java:497)&#xA;07-04 19:39:08.948: E/AndroidRuntime(1072):     at java.lang.ClassLoader.loadClass(ClassLoader.java:457)&#xA;07-04 19:39:08.948: E/AndroidRuntime(1072):     at android.app.Instrumentation.newActivity(Instrumentation.java:1061)&#xA;07-04 19:39:08.948: E/AndroidRuntime(1072):     at android.app.ActivityThread.performLaunchActivity(ActivityThread.java:2112)&#xA;07-04 19:39:08.948: E/AndroidRuntime(1072):     ... 11 more&#xA;</code></pre>&#xA;&#xA;<p>I have tried cleaning a rebuliding the project, and running with different emulators with several API's, but the error persists. The AndroidManifest seems to be OK, it has the ""package-name"" set, and the main activity name starts with a dot (""."").&#xA;Any hint will be welcomed.</p>&#xA;",3144617,,3144617,2014-07-05 03:48:15,2014-07-10 16:28:30,Apollo CM11 class not found exception,<android><eclipse><classnotfoundexception><cyanogenmod><apollo>,2,2,0,2014-07-04 23:48:54
24681787,2,,24581771,0,,"<p>It seems that the problem was that the android support library wasn't in the ""libs"" directory, it was in another directory. I have just created a ""libs"" directory in the root&#xA;of the Apollo project, copy the jar file in there, then clean and rebuild, and now it works fine. Let me know if this work for you. </p>&#xA;",3144617,,,,2014-07-10 16:28:30,"",,0,0,0,2014-07-10 16:28:30
25082288,2,,19707647,2,,<p>I had a similar problem with CentOS 6.5 64bit.&#xA;The solution was to download and install jdk-7u65-linux-x64.rpm and then run:<br></p>&#xA;&#xA;<pre><code> export JAVA_HOME=/usr/java/jdk1.7.0_65 &lt;br&gt;&#xA; export PATH=$JAVA_HOME/bin:$PATH&#xA;</code></pre>&#xA;,3899767,,2053415,2014-08-01 14:25:00,2014-08-01 14:25:00,"",,0,0,0,2014-08-01 14:17:47
32178553,1,,,6,2976,"<p>I'm playing with relay-starter-kit. I've also used <a href=""http://sangria-graphql.org/"" rel=""noreferrer"">sangria</a> to create a graphql server. Now I'm trying to wire the two together.</p>&#xA;&#xA;<p>In relay-starter-kit, every time you alter the schema, you need to run a script to regenerate the schema.json file. But since graphql supports schema introspection I'm wondering if there's a way to configure my relay app to introspect the schema from the server when it starts up. </p>&#xA;&#xA;<p>Does anyone know if this is possible or worked out how to do this?</p>&#xA;",2400966,,322765,2015-12-31 00:02:19,2015-12-31 00:02:19,Relay app: How to introspect schema on server?,<facebook><reactjs><relayjs><graphql><sangria>,3,2,0,2015-08-24 09:16:38
32337701,1,,,6,1131,"<p>I was following tutorial for React + Relay + GraphQL @ <a href=""https://facebook.github.io/relay/docs/tutorial.html"">https://facebook.github.io/relay/docs/tutorial.html</a></p>&#xA;&#xA;<p>And I was confused on what interface : [nodeInterface] does in a GraphQL object definition. </p>&#xA;",3385800,,710693,2017-08-11 00:20:07,2017-08-11 00:20:07,Query with Relay and GraphQL,<reactjs><graphql><relayjs>,2,0,0,2015-09-01 17:34:26
32491117,1,,,7,4709,"<p>I have a GraphQL server running with a schema roughly like this:</p>&#xA;&#xA;<pre><code>type Card {&#xA;  id: String!&#xA;  name: String&#xA;}&#xA;&#xA;type Query {&#xA;  card(name: String!): Card&#xA;  cards(power: String): [Card]&#xA;}&#xA;</code></pre>&#xA;&#xA;<p>Notice that I have a query on a single card, but also on multiple cards. When I use the GraphIQl UI and make a query like this ""query {cards { name }}"" I get back an array of cards, as expected.</p>&#xA;&#xA;<p>However, I have a RelayContainer that is making the same query, but the props that come back are just the first result, rather than an array of results.</p>&#xA;&#xA;<pre class=""lang-js prettyprint-override""><code>class MyApp extends React.Component {&#xA;  render() {&#xA;    return (&#xA;      &lt;div&gt;&#xA;        &lt;h1&gt; Hello world!&lt;/h1&gt;&#xA;        &lt;CardList cards={this.props.cards} /&gt;&#xA;      &lt;/div&gt;&#xA;    );&#xA;  }&#xA;}&#xA;&#xA;export default Relay.createContainer(MyApp, {&#xA;  fragments: {&#xA;    card: () =&gt; Relay.QL`&#xA;      fragment on Card {&#xA;        name&#xA;      }&#xA;    `,&#xA;    cards: () =&gt; Relay.QL`&#xA;      fragment on Card {&#xA;        ${CardList.getFragment('cards')}&#xA;      }&#xA;    `&#xA;  },&#xA;});&#xA;</code></pre>&#xA;&#xA;<p>and the CardList component is set up with the Container like this:</p>&#xA;&#xA;<pre class=""lang-js prettyprint-override""><code>class CardList extends React.Component {&#xA;  render() {&#xA;    return &lt;div&gt;{this.props.cards}&lt;/div&gt; // UNEXPECTED - this.props.cards is the first card, not an array for me to .map over&#xA;  }&#xA;}&#xA;&#xA;export default Relay.createContainer(CardList, {&#xA;  fragments: {&#xA;    cards: () =&gt; Relay.QL`&#xA;      fragment on Card {&#xA;        name&#xA;      }&#xA;    `,&#xA;  },&#xA;});&#xA;</code></pre>&#xA;&#xA;<p>Anybody have any suggestions? This is day 2 of me diving into GraphQL and Relay, so I might be making a very basic mistake for all I know.</p>&#xA;",14873,,5071902,2015-09-11 02:37:25,2015-10-14 04:14:41,"How to get RelayJS to understand that a response from GraphQL is an array of items, not just a single item",<graphql><relayjs>,1,1,0,2015-09-10 00:21:47
32508252,2,,32178553,0,,"<p>The introspection product (schema.json) is used by the Babel Relay Plugin to validate and compile <code>Relay.QL</code> expressions. Luckily, the getBabelRelayPlugin method accepts either an introspection product, or a function that returns an introspection product.</p>&#xA;&#xA;<p>It should be possible then to do something like this in your app's build system (eg. Webpack):</p>&#xA;&#xA;<pre class=""lang-js prettyprint-override""><code>// Pseudocode&#xA;var SCHEMA_PATH = 'path/to/schema.js';&#xA;var introspectionProduct = introspectSchema(SCHEMA_PATH);&#xA;&#xA;watch(SCHEMA_PATH, () =&gt; introspectionProduct = introspectSchema(SCHEMA_PATH));&#xA;&#xA;var babelRelayPlugin = getBabelRelayPlugin(() =&gt; introspectionProduct);&#xA;</code></pre>&#xA;",802047,,802047,2015-09-11 01:32:17,2015-09-11 01:32:17,"",,0,3,0,2015-09-10 17:31:31
